UID,Year,Type,l_urban,l_agri,l_urd,l_rd,l_glf,c_urban,c_agri,c_urd,c_rd,c_glf,wast,dam,damdist,fn,b_urban,b_agri,b_urd,b_rd,b_glf,l_over,l_swi,l_dd,l_rock,l_wtr,l_dec,l_con,l_bog,l_grg,l_da,c_over,c_swi,c_dd,c_rock,c_wtr,c_dec,c_con,c_bog,c_slp,c_da,strahl,11Strp,AH,GBF,b_over,b_swi,b_dd,b_rock,b_wtr,b_dec,b_con,b_bog,b_slp,lat,lon,elev,sdepth,DS,2DS,PCmed,Me,Mrf,Ms,wood,det,Afi,Aa,ALKT,Ca,Cl,COND,DOC,TKN,pH,TP,Aeshn,Ancyl,Asell,Baeti1,Baeti2,Belos,Bithy,Brach,Caeni,Calop,Camba,Capni,Cerat,Chaob,Chlor,Chrys,Curcu,Coena,Cordu1,Cordu2,Corix,Coryd,Cramb,Crang,Culic,Dipse,Dixid,Dolic,Dytis,Elmid,Empid,Ephem1,Ephem2,Ephyd,Erpob,Gamma,Gerri,Gloss1,Gloss2,Gomph,Gyrin,Haemo,Halip,Helic,Hepta,Hyale,Arach,Hydra,Hydro1,Coele,Hydro2,Hydro3,Hydro4,Isony,Lepid,Lepto1,Lepto2,Lepto3,Lesti,Leuct,Libel,Limne,Lymna,Macro,Metre,Molan,Musci,Oligo,Nemat,Nemou,Noton,Perli,Perlo,Philo,Phryg,Physi,Pisci,Plano,Pleid,Polyc,Pseph,Psych1,Psych2,Ptych,Pyral,Rhyac,Sabel,Saldi,Sciom,Scirt,Seric,Siali,Simul,Siphl,Sisyr,Sphae,Taban,Tipul,Platy,Union,Valva,Velii,Vivip,Chiro,Ortho,Tanyp,Amph,Chir,CIGH,EOT,Insect,NHC,Rich100,PCoA1,PCoA2,CA1,CA2,EPT,HBI,Bw,FC,GC,P,SC,SH
L114,2012,Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,0,0,0,0,0,1.3,6.2,0.000597,0,6.19,61.105,28.725,2.34,0.0931,882364.3633,1.3,6.2,0.000597,0,6.19,61.105,28.725,2.34,0.0931,882364.3633,1,0,100,0,1.9,6.4,0.000853,0,8.85,55.635,29.835,3.34,0.1055,45.44435611,-79.16258459,356,0.873333333,3,4.666666667,373.8666667,1,0.666666667,1,2,2,0,0,5.6,1.16,0.3785,17,5.8,330,6.32,5.5,0,0,0,0,0,0,0,0,4.69876241,0,0,0,2.529579763,0,0,0,0,0.843193254,0.258397933,0,0,0,0,0.258397933,0,0,0,0,0,1.169590643,0.550795594,0,0,0,0.258397933,0.292397661,0,0,0,0.292397661,0,0,0,0,0,4.249966,2.305181559,0,0.584795322,0,0,0,4.474364205,0,0,0.292397661,0,0,0,0,0.584795322,0,0,0,0,0,0,5.596355229,0.877192982,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,57.50713994,7.554739562,4.304365565,4.800761594,69.36624507,0.843193254,1.97878417,85.06051952,5.596355229,13.04404228,-0.006042504,-0.001166029,-0.196742977,-0.255605862,9.465524276,7.320482659,75.51339589,0,80.12375901,11.92710458,2.012783898,0.292397661
L118,2012,Lake,0,0,0,0,0,0,0,0.0000148,0.0000148,0,0,0,0,100,0,0,0.0000176,0.0000176,0,0.4,10.2,0.001118,1.32,5.83,25.06,24.67,22.28,0.0198,461029.3685,0.5,10.2,0.001796,0.97,16.92,23.39,24.49,16.53,0.0234,629329.3685,1,0,0,100,0.5,20.3,0.002143,1.15,18.27,20.12,23.67,19.05,0.0168,44.95926367,-79.49516476,249,0.4,2,7,740.6833333,1,2,0.666666667,1.333333333,1.666666667,0,1,4.35,1.24,0.1166,9.6,13,971,5.87,30.2,0,0,0,0,0,0,0,0,6.569892473,0,0,0,3.010752688,0,0,0,0,0,1.075268817,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268817204,0,0,0,0,0,0,0,0,0,0,0.602150538,0.602150538,0,0,0,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.290322581,1.204301075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344086022,0,0,0,0,0,0,0,61.94623656,6.430107527,10.51612903,0.602150538,78.89247312,0.333333333,1.075268817,92.03225806,5.290322581,9.444122567,-0.007676469,0.000438665,-0.131474809,-0.496149209,7.376344086,7.418016314,85.52688172,1.344086022,80.83870968,15.47311828,0,0
L130,2012,Lake,3.97,0,0.00000593,0.000509129,0,1.11,0,0.000075,0.000216111,0,0,0,0,99.11,0,0,0,0,0,0.7,10.3,0.001209,0,2.99,34.955,16.285,22.23,0.018,1855719.712,1,10,0.001962,0.63,16.57,31.205,18.575,11.73,0.0204,10616319.71,3,0,5.52,94.48,0.5,21.8,0.002491,0,4.31,27.6,7.92,35.78,0.0147,44.99270197,-79.54166733,238,0.683333333,3.666666667,3.666666667,370.3666667,0,0.333333333,1,1.333333333,1.333333333,0.333333333,1,6.5,1.6,3.9066,29.6,9,439,6.45,17.1,0,0,3.130519668,0,0,0,0,0,0.305810398,0,0,0,1.679942005,0,0,0,0,1.834862385,0.481248994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27100271,0,0,0,0,0,14.22338946,5.013877275,0,1.634875209,0,0,0,1.443746982,0,0,2.789901583,0,0,0,0,0.175438596,0,0,0,0,0,0,1.007564784,0.175438596,0,0,0,0,0,0,0,0,2.822707174,0,0.27100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.359445642,0,0,0,0,0,0,0,23.52867512,22.15125903,8.699291677,14.22338946,54.37922583,7.588102052,2.762552686,71.99162784,1.007564784,13.19999629,0.0013209,-0.008838797,-0.305357473,-0.106972371,4.810461673,6.960638066,63.74623625,8.630448352,64.34721846,18.15566364,4.457582383,0
L136,2013,Lake,0,0.09,0,0.00000666,0,0,0.09,0,0.00000666,0,0,0,0,99.75,0,0.22,0,0.0000173,0,0,5.4,0.000768,0,3.45,64.95,28.83,1.82,0.1522,2251429.508,0,5.4,0.000768,0,3.45,64.95,28.83,1.82,0.1522,2251429.508,2,0,100,0,0,12.3,0.000735,0,7.44,63.11,28.95,0,0.1927,45.3897874,-78.72761615,397,0.873333333,4.333333333,3.333333333,157.0333333,0.333333333,0.666666667,0.666666667,1.666666667,1.666666667,0.333333333,1.333333333,5.75,2.04,0.26,23.4,2.6,185,6.85,2,0,0.769230769,0,0,0,0,0,0,0.510863183,0,0,0,16.06560318,0,0,0,0,0.254452926,0,0,0,0,0,0,0,0,0,0,0,14.03846154,0.277777778,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0.508905852,5.400110915,3.082631957,0,4.679487179,0,0.256410256,0,0,0,0,1.08778626,0,0.277777778,0,0,0.256410256,0,0,0,0,0,0,3.197298884,1.816239316,0,0,0,0,0,0,0,0,4.508547009,0,0,0.254452926,0,0,0,0,0,0,0,0,0,0.534188034,0,0,0,0,0.811965812,0,0,0.512820513,0,0,0,0,20.79614406,11.43700659,8.387649246,5.400110915,40.6207999,9.957264957,0.78864096,76.03363346,3.197298884,14.428161,0.002264522,-0.008589589,-0.235421074,-0.041074842,2.919521107,6.230872897,44.90784237,0.811965812,42.64092778,28.85871338,24.25017942,0.534188034
L140,2012,Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,0,0,0,0,0,0,6.5,0.000888,0.66,4.16,71.955,19.095,0,0.0601,2449687.455,0,6.5,0.000888,0.66,4.16,71.955,19.095,0,0.0601,2449687.455,2,0,100,0,0,14.1,0.001592,1.14,15.62,67.615,13.275,0,0.0554,45.41571113,-79.19741487,360,0.72,2.666666667,4,0.083333333,1,1,1,0.666666667,1,0,1,5.6,1.44,0.211,17.8,5.2,315,6.36,7.3,0,0,0,0,0,0,0,0,0.225225225,0,0,0,1.743410077,0,0,0,0,1.514679946,0,0,0.533867201,0,0,1.824653785,0,0,0,0,0,0,0,0,0,0,0.308641975,0,0,0,0,1.851851852,0.225225225,0,0,0,0,13.56188121,1.711375241,0,0,0,0,0,0,0,0,0.842509176,0,0,0,0,0,0,0,0,0,0,0,9.476283006,1.151151151,0,0,0,0,0,0,0,0,0.280112045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280112045,0,0,0,0.56022409,0,0,0.617283951,0,0,0,0,53.36709258,7.282282282,2.642137936,15.38653499,63.2915128,0.813979245,3.366531798,71.06861764,9.476283006,11.38080233,-0.002991842,-0.003184034,-0.314239148,-0.066803668,1.067734401,7.525878128,73.32801989,0.56022409,86.35470204,10.2774343,0.280112045,0
L197HB,2012,Lake,75.29,0.05,0.000321724,0.009043256,0,1.36,1.69,0.000217825,0.000457316,0.05,6,8,368664.3245,96.59,70.84,0,0.000295655,0.008467339,0,8,9.1,0.000205,0.13,5.43,14.28,1.8,0,0.0509,1822929.657,1.3,7.2,0.001691,0.11,8.7,56.97,20.98,6.5,0.0604,1093847830,6,23.6,76.4,0,7.8,21.5,0.0005,0.16,10.31,12.68,2.38,0,0.0333,45.32902603,-79.22784205,291,0.943333333,3,4,13.4,0.666666667,0.333333333,1,0.333333333,0.333333333,0,1,9.9,3,4.7249,46,6.2,308,6.92,9.1,0,0,17.31200792,0,0,0,0,0,0.746268657,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.323624595,0,0,0,0,0,1.866879196,0,0,0.746268657,0,0.166666667,12.03243491,0,0,0,0,0,0,0.970873786,0,6.748756219,6.248756219,0.415422886,0,2.912621359,0,0,0,0.333333333,0,0,0.490291262,0,0,0,0,0,0,0,0,0,0,0,20.58515674,0.497512438,0,0,0,0,0,0,0,0.166666667,3.495024876,0,0,0,0,0,0,0,0,2.108414239,0,0,0,0,0.497512438,0,0,0,3.910133797,0,0,0.166666667,0,0,0,0,14.84825871,1.246268657,0.664179104,18.60481573,16.75870647,23.71965416,0,33.56902381,20.58515674,12.83348701,0.008655445,0.022357619,-0.529009579,0.751254631,9.064918128,6.499887287,44.1086799,4.656402454,70.33417862,2.410447762,8.274525431,13.0033087
L197M,2012,Lake,12.75,10.28,0.000294116,0.001720705,0,1.25,1.71,0.000219755,0.00044728,0.05,6,8,368664.3245,96.59,5.93,8.14,0.000616371,0.001530556,0,5.2,8.5,0.001711,0.11,2.54,45.22,14.95,7.66,0.0623,21225997.74,1.2,7.2,0.001693,0.12,7.85,57.59,21.21,6.57,0.0605,1081012898,6,23.6,76.4,0,5.4,19.1,0.000827,0.12,13.46,43.265,11.805,11.84,0.0805,45.32902603,-79.22784205,291,0.783333333,4.666666667,5.333333333,225,0,0,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,8.75,2.4,3.7805,40.4,6,294,6.71,8.2,0.340136054,0,1.428571429,1.203267632,0,0,0,0,0.238095238,0,0,0,1.156462585,0,0,0,0,0,0.238095238,0,0,0,0,0.340136054,0,0.340136054,0,0,0,0.761090761,0.965172394,0,0,0,0,6.44136287,0,0,0,0.340136054,0,0,0,0,0.680272109,10.06860864,3.027210884,0,1.19047619,0,0,0,0.522995523,0,0,8.137973138,0,0,0,0,0,0,0,0,0,0,0,33.97319612,0.238095238,0,0,0,0,0,0.340136054,0,0,2.351299494,0,0,2.104773533,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,1.836734694,0,0.56980057,0,0,0,0,0,9.757834758,8.546427118,2.623408338,16.85010756,20.92767021,4.970347113,0.918367347,40.70294785,33.97319612,17.0627087,0.010345399,-0.004009113,-0.238073338,0.342568274,11.46287575,5.959192079,58.51066923,2.176870748,66.47450434,8.690621547,6.407639978,7.351299494
L197NB,2012,Lake,0.77,3.39,0.000272885,0.000747463,0,0.4,2.82,0.000361359,0.000565274,0,6,8,368664.3245,96.59,8.31,6.62,0.000501992,0.002470217,0,0.8,7.7,0.001431,0.14,1.25,59.21,23.7,5.82,0.0429,81240791.43,0.8,8,0.001349,0.28,4.39,51.615,22.945,11.57,0.0349,307300091.4,6,23.6,76.4,0,4.4,19.2,0.00062,0,8.74,52.545,14.485,3.69,0.0721,45.32902603,-79.22784205,291,0.796666667,5.333333333,3.666666667,81.66666667,0,0.333333333,1.333333333,1.333333333,1,0.333333333,1.333333333,7.15,2.5,3.5291,38.4,6.2,330,6.72,8,0.411685631,0,1.515151515,6.365542215,0,0,0,0,0,0,0,0,0.920591483,0,0,0,0,0.157232704,0.157232704,0,0,0,0,0.471698113,0,0,0,0,0,1.769604441,0,0.252525253,0.254452926,0,0.157232704,0,0,0,0,0.314465409,0,0,0,0,6.624759768,3.591619784,2.66069888,0,6.928786642,1.293141701,0,0,1.67238422,0,0.314465409,6.515173338,0,0.157232704,0,0,0,0,0,0,0,0,0,31.13724018,0.918663809,0,0,0,0,0,0,0,0,2.44730904,0,0,1.419858967,0,0,0,0,0,2.902676484,0,0,0,0,0,0,0,0,0,0,0,1.642887175,0,0,0,0,8.588222714,3.914705168,4.522758916,4.063317897,17.0256868,10.8912472,1.040616448,44.33289397,31.13724018,17.92752812,0.009548982,-0.000352192,-0.208414966,0.563243871,22.15653583,5.437488781,51.32005639,0.254452926,67.16426107,10.59504013,12.56555909,0.314465409
L20HB,2012,Lake,1.75,21.05,0.000489928,0.000985293,0,1.36,18.13,0.000381492,0.000809064,0,1,0,0,85.68,9.75,17.57,0.001457028,0.00201104,0,1.2,7.3,0.001694,0.6,1.97,51.015,6.455,5,0.0616,13169382.99,1.5,7.3,0.001674,0.6,4.44,50.27,7.58,5.08,0.0578,16557882.99,6,11.59,88.41,0,1.1,16.3,0.001037,0.17,6.73,43.285,7.425,0.17,0.0906,45.17871648,-79.5158075,251,0.6,4.666666667,5,89.16666667,0,0,0,0.333333333,0,0,1,16.3,2.86,7.04,66.8,5,352,7.33,12.5,0,0.268817204,0,2.352150538,0,0,0,0,0.268817204,0,0.297619048,0,1.818181818,0,0,0,0,1.201298701,0,0.303030303,0,0,0,0.268817204,0,0,0,0,0,7.311478844,0,19.5061793,0,0,0.566436252,0.297619048,0,0,0,0,0,0,0,0,9.97207094,13.34799609,4.100160592,0,0.806451613,0,0,0,0.303030303,0,0,0.909090909,0,0,0,0,0,0,0,0.600649351,0,0,0,3.483277475,0.268817204,0,0,0,0,0,0,0,0,1.344086022,0,1.73893311,12.69707443,0,0,0,0,0,1.641705069,0,0,0,0,0,0,0,0,1.104070661,0,0,1.138283759,0,0,0,0,6.713971512,2.115800866,3.254084625,13.91443234,12.083857,2.419354839,2.104978355,72.16991342,3.483277475,18.41522878,0.008373788,-0.000320146,-0.054537014,0.724558733,35.05027231,4.537030054,18.31291021,2.843003771,60.80906996,11.84384164,22.42790811,0.595238096
L20M,2012,Lake,1.71,20.82,0.000282595,0.000925008,0.28,1.97,17.18,0.000276589,0.000898189,0.18,1,0,0,85.68,13.94,20.77,0.000957847,0.002168006,0,1.4,7.6,0.002465,0.67,2.01,51.725,11.985,5.58,0.0543,63652122.3,1.3,7.5,0.002402,0.55,6.12,50.35,12.3,5.29,0.0543,98249922.3,6,11.59,88.41,0,1.5,17.6,0.001092,2.68,8.1,39.875,5.085,0.44,0.0683,45.17871648,-79.5158075,251,0.77,3.333333333,5.666666667,115.0333333,0,0.333333333,1,0.666666667,0.333333333,0.333333333,1.333333333,18,2.9,8.7,73.4,6.1,557,7.28,25,0,0,0,0,0,0,0,0,0,0,0,0,0.656862745,0,0,0,0,0.391891892,0.245098039,0,0,0,0,0,0,0,0,0,0,2.252252252,0,0.45045045,0,0,0,0.45045045,0,0,0,0,0,0,0,0,0.490196078,1.607313196,1.147058824,0,0.920773715,0.636989931,0,0,0,0,0,0.45045045,0,0,0,0,0,0,0,0,0,0,0,38.96528882,0.862215156,0,0,0,0,0,0,0,0,1.225490196,0,0.470323264,0.675675676,0,0,0,0,0,9.989401166,0,0,0,0,0,0,0,0,10.24324324,0,0,2.057763646,0,0,0,0,14.77159512,8.911764706,2.12745098,2.057763646,25.81081081,2.146263911,0.636989931,42.1372549,38.96528882,12.40213961,0.006522986,-0.000814914,-0.330324569,0.509422997,1.861420244,6.67148454,85.00874403,10.7135665,77.24377318,5.205352411,5.074191839,0.45045045
