Site,Year,Zone,Esc,Order,SubWatNo,Type,MonYr,Year.factor,Shannon,Percent.Dominance,Percent.Oligochaeta,Percent.Chironomidae,Percent.Isopoda,Percent.Amphipoda,Percent.Coleoptera,Coleo.as.Elmidae,Trich.as.Hydropsychidae,Ephem.as.Baetidae,Percent.EPT,Percent.mEPT,Percent.ICHAEBO,EPT.Richness,Ephem.Richness,Percent.Ephem,Plec.Richness,Percent.Plec,Trich.Richness,Percent.Trich,EPT.per.EPT.and.Chir,Percent.Non.Chir.Dip,Percent.CIGH,Intolerants.Richness,Percent.Intolerants,HBI,CEFI,Percent.Predator,Percent.Scraper,Percent.Shredder,Percent.Filter,Percent.Gatherer,Scraper.to.Shredder.Collector,Percent.Clinger,Percent.Burrower,Percent.Sprawler,Burrower.to.Sprawler.Clinger,Henry,obs,abund
501020001,1999,L,Below,2,2,Tributary,1,1999,0.665089814,0.846385542,0.036144578,0.072289157,0.846385542,0.015060241,0.003012048,0,NA,1,0.009036145,0,0.978915663,1,1,0.009036145,0,0,0,0,0.111111111,0.111111111,0.846385542,1,0.003012048,7.798192771,0.31,0.003012048,0,0.003012048,0.021084337,0.081325301,NA,0.846385542,0.039156627,0.072289157,-3.155362419,N,1,332
501040004,1999,L,Below,3,4,Tributary,1,1999,1.649875724,0.477192982,0.014035088,0.263157895,0.477192982,0.003508772,0.105263158,0.733333333,0.692307692,0.666666667,0.056140351,0.01754386,0.796491228,5,2,0.010526316,0,0,3,0.045614035,0.175824176,0.025974026,0.480701754,5,0.045614035,6.784452297,0.305463918,0.014035088,0.115789474,0.003508772,0.035087719,0.273684211,-0.872940291,0.550877193,0.070175439,0.340350877,-2.541601993,N,2,285
501050004,1999,L,Below,4,5,Tributary,1,1999,1.811706313,0.255319149,0.255319149,0.255319149,0.191489362,0,0.021276596,1,NA,0.333333333,0.063829787,0.042553191,0.723404255,2,2,0.063829787,0,0,0,0,0.2,0.076923077,0.191489362,2,0.063829787,6.70212766,0.31,0,0.063829787,0.021276596,0,0.276595745,-1.540445041,0.234042553,0.319148936,0.276595745,-0.470003629,N,3,47
501060002,1999,L,Below,4,6,Tributary,1,1999,1.836769909,0.45890411,0,0.45890411,0.068493151,0.020547945,0.136986301,0.65,0.875,NA,0.109589041,0.01369863,0.643835616,2,0,0,0,0,2,0.109589041,0.192771084,0.028985507,0.171232877,4,0.061643836,5.965753425,0.316666667,0.01369863,0.232876712,0.006849315,0.102739726,0.465753425,-0.70774598,0.294520548,0.020547945,0.547945205,-3.713572067,N,4,146
501070001,1999,L,Below,4,7,Tributary,1,1999,1.859860893,0.411111111,0.044444444,0.033333333,0,0,0.833333333,0.493333333,NA,NA,0,0,0.077777778,0,0,0,0,0,0,0,0,0.571428571,0.011111111,2,0.022222222,5.191011236,0.29,0.322222222,0.422222222,0.022222222,0,0.044444444,1.84582669,0.011111111,0.1,0.566666667,-1.754019141,N,5,90
501100001,1999,M,Below,5,10,Tributary,1,1999,2.058048962,0.382352941,0.094771242,0.176470588,0.003267974,0,0.382352941,1,0.666666667,0.142857143,0.264705882,0.160130719,0.379084967,8,2,0.091503268,1,0.035947712,5,0.137254902,0.6,0.129032258,0.019607843,9,0.183006536,5.290849673,0.306432432,0.055555556,0.392156863,0.016339869,0.133986928,0.277777778,0.287682072,0.267973856,0.130718954,0.558823529,-1.844510035,N,6,306
501100002,1999,M,Below,4,10,Tributary,1,1999,2.07552562,0.2578125,0,0.2578125,0.109375,0.0078125,0.171875,0.954545455,0.142857143,1,0.2109375,0.046875,0.5390625,6,1,0.15625,0,0,5,0.0546875,0.45,0.459016393,0.125,4,0.109375,5.6484375,0.340963855,0.015625,0.1875,0.09375,0.1640625,0.4140625,-0.99633344,0.171875,0.078125,0.421875,-2.028148247,N,7,128
501110001,1999,M,Below,6,11,Tributary,1,1999,2.47285044,0.192708333,0.0625,0.145833333,0.088541667,0,0.223958333,0.813953488,0.880952381,0.5,0.260416667,0.052083333,0.505208333,9,3,0.03125,2,0.010416667,4,0.21875,0.641025641,0.377777778,0.104166667,10,0.203125,5.453125,0.336524064,0.083333333,0.255208333,0.067708333,0.197916667,0.177083333,0.041672696,0.416666667,0.223958333,0.328125,-1.201644515,N,8,192
501110002,1999,M,Below,5,11,Tributary,1,1999,1.390134447,0.610810811,0.005405405,0.610810811,0,0,0.178378378,1,1,0.3,0.091891892,0.043243243,0.664864865,6,4,0.054054054,1,0.005405405,1,0.032432432,0.130769231,0.081300813,0.005405405,5,0.097297297,5.545945946,0.310897436,0.010810811,0.183783784,0.054054054,0.043243243,0.654054054,-1.348836799,0.048648649,0.124324324,0.789189189,-1.907930901,N,9,185
501110004,1999,M,Below,4,11,Tributary,1,1999,1.342624119,0.65625,0,0.65625,0,0,0.010416667,0.333333333,0.333333333,0.022727273,0.229166667,0.222222222,0.663194444,9,3,0.152777778,3,0.065972222,3,0.010416667,0.258823529,0.082524272,0,9,0.288194444,5.190972222,0.300909091,0.100694444,0.017361111,0.045138889,0.003472222,0.809027778,-3.895893623,0.229166667,0.069444444,0.666666667,-2.557227311,N,10,288
501130002,1999,M,Below,3,13,Tributary,1,1999,0.934218631,0.783783784,0,0.783783784,0,0.027027027,0.027027027,0,NA,0.5,0.081081081,0.054054054,0.837837838,3,2,0.054054054,1,0.027027027,0,0,0.09375,0.033333333,0,2,0.054054054,5.783783784,0.31,0.054054054,0,0.027027027,0.027027027,0.837837838,NA,0.054054054,0.081081081,0.783783784,-2.335374916,N,11,37
501130003,1999,M,Below,3,13,Tributary,1,1999,2.333431972,0.257142857,0,0.257142857,0,0,0.107142857,0.866666667,1,0.481481481,0.307142857,0.157142857,0.407142857,4,2,0.192857143,1,0.057142857,1,0.057142857,0.544303797,0.389830508,0,6,0.364285714,4.778571429,0.352155689,0.235714286,0.1,0.142857143,0.157142857,0.35,-1.595049175,0.192857143,0.192857143,0.35,-1.034896474,N,12,140
